flow_id,attribute,value,source,comment
butene,name,Butene,,
butene,default_unit,t,,
butene,energycontent_LHV,42972 Btu/kg,Wang2023,
butene,c-ratio,85.60%,Wang2023,
butene,h-ratio,14.40%,,
butene,o-ratio,0.00%,,
asphalt,name,Asphalt,,
asphalt,default_unit,t,,
asphalt,energycontent_LHV,152371 Btu/kg,Wang2023,
asphalt,energycontent_HHV,162964 Btu/kg,Wang2023,
asphalt,c-ratio,80.80%,Wang2023,
asphalt,h-ratio,,,
asphalt,o-ratio,,,
