from,to,ft,factor
MWh;LHV,GJ;HHV,heat,3.600000000
MWh;LHV,MWh,heat,1.000000000
MWh;LHV,MWh;HHV,heat,1.000000000
MWh;LHV,kWh,heat,1000.000000000
MWh;LHV,kWh;LHV,heat,1000.000000000
MWh;LHV,kWh;HHV,heat,1000.000000000
MWh;LHV,MJ,heat,3600.000000000
MWh;LHV,MJ;LHV,heat,3600.000000000
MWh;LHV,MJ;HHV,heat,3600.000000000
MWh;LHV,GWh,heat,0.001000000
MWh;LHV,GWh;LHV,heat,0.001000000
MWh;LHV,GWh;HHV,heat,0.001000000
MWh;HHV,GJ,heat,3.600000000
MWh;HHV,GJ;LHV,heat,3.600000000
MWh;HHV,GJ;HHV,heat,3.600000000
MWh;HHV,MWh,heat,1.000000000
MWh;HHV,MWh;LHV,heat,1.000000000
MWh;HHV,kWh,heat,1000.000000000
MWh;HHV,kWh;LHV,heat,1000.000000000
MWh;HHV,kWh;HHV,heat,1000.000000000
MWh;HHV,MJ,heat,3600.000000000
MWh;HHV,MJ;LHV,heat,3600.000000000
MWh;HHV,MJ;HHV,heat,3600.000000000
MWh;HHV,GWh,heat,0.001000000
MWh;HHV,GWh;LHV,heat,0.001000000
MWh;HHV,GWh;HHV,heat,0.001000000
kWh,GJ,heat,0.003600000
kWh,GJ;LHV,heat,0.003600000
kWh,GJ;HHV,heat,0.003600000
kWh,MWh,heat,0.001000000
kWh,MWh;LHV,heat,0.001000000
kWh,MWh;HHV,heat,0.001000000
kWh,kWh;LHV,heat,1.000000000
kWh,kWh;HHV,heat,1.000000000
kWh,MJ,heat,3.600000000
kWh,MJ;LHV,heat,3.600000000
kWh,MJ;HHV,heat,3.600000000
kWh,GWh,heat,0.000001000
kWh,GWh;LHV,heat,0.000001000
kWh,GWh;HHV,heat,0.000001000
kWh;LHV,GJ,heat,0.003600000
kWh;LHV,GJ;LHV,heat,0.003600000
kWh;LHV,GJ;HHV,heat,0.003600000
kWh;LHV,MWh,heat,0.001000000
kWh;LHV,MWh;LHV,heat,0.001000000
kWh;LHV,MWh;HHV,heat,0.001000000
kWh;LHV,kWh,heat,1.000000000
kWh;LHV,kWh;HHV,heat,1.000000000
kWh;LHV,MJ,heat,3.600000000
kWh;LHV,MJ;LHV,heat,3.600000000
kWh;LHV,MJ;HHV,heat,3.600000000
kWh;LHV,GWh,heat,0.000001000
kWh;LHV,GWh;LHV,heat,0.000001000
kWh;LHV,GWh;HHV,heat,0.000001000
kWh;HHV,GJ,heat,0.003600000
kWh;HHV,GJ;LHV,heat,0.003600000
kWh;HHV,GJ;HHV,heat,0.003600000
kWh;HHV,MWh,heat,0.001000000
kWh;HHV,MWh;LHV,heat,0.001000000
kWh;HHV,MWh;HHV,heat,0.001000000
kWh;HHV,kWh,heat,1.000000000
kWh;HHV,kWh;LHV,heat,1.000000000
kWh;HHV,MJ,heat,3.600000000
kWh;HHV,MJ;LHV,heat,3.600000000
kWh;HHV,MJ;HHV,heat,3.600000000
kWh;HHV,GWh,heat,0.000001000
kWh;HHV,GWh;LHV,heat,0.000001000
kWh;HHV,GWh;HHV,heat,0.000001000
MJ,GJ,heat,0.001000000
MJ,GJ;LHV,heat,0.001000000
MJ,GJ;HHV,heat,0.001000000
MJ,MWh,heat,0.000277778
MJ,MWh;LHV,heat,0.000277778
MJ,MWh;HHV,heat,0.000277778
MJ,kWh,heat,0.277777778
MJ,kWh;LHV,heat,0.277777778
MJ,kWh;HHV,heat,0.277777778
MJ,MJ;LHV,heat,1.000000000
MJ,MJ;HHV,heat,1.000000000
MJ,GWh,heat,0.000000278
MJ,GWh;LHV,heat,0.000000278
MJ,GWh;HHV,heat,0.000000278
MJ;LHV,GJ,heat,0.001000000
MJ;LHV,GJ;LHV,heat,0.001000000
MJ;LHV,GJ;HHV,heat,0.001000000
MJ;LHV,MWh,heat,0.000277778
MJ;LHV,MWh;LHV,heat,0.000277778
MJ;LHV,MWh;HHV,heat,0.000277778
MJ;LHV,kWh,heat,0.277777778
MJ;LHV,kWh;LHV,heat,0.277777778
MJ;LHV,kWh;HHV,heat,0.277777778
MJ;LHV,MJ,heat,1.000000000
MJ;LHV,MJ;HHV,heat,1.000000000
MJ;LHV,GWh,heat,0.000000278
MJ;LHV,GWh;LHV,heat,0.000000278
MJ;LHV,GWh;HHV,heat,0.000000278
MJ;HHV,GJ,heat,0.001000000
MJ;HHV,GJ;LHV,heat,0.001000000
MJ;HHV,GJ;HHV,heat,0.001000000
MJ;HHV,MWh,heat,0.000277778
MJ;HHV,MWh;LHV,heat,0.000277778
MJ;HHV,MWh;HHV,heat,0.000277778
MJ;HHV,kWh,heat,0.277777778
MJ;HHV,kWh;LHV,heat,0.277777778
MJ;HHV,kWh;HHV,heat,0.277777778
MJ;HHV,MJ,heat,1.000000000
MJ;HHV,MJ;LHV,heat,1.000000000
MJ;HHV,GWh,heat,0.000000278
MJ;HHV,GWh;LHV,heat,0.000000278
MJ;HHV,GWh;HHV,heat,0.000000278
GWh,GJ,heat,3600.000000000
GWh,GJ;LHV,heat,3600.000000000
GWh,GJ;HHV,heat,3600.000000000
GWh,MWh,heat,1000.000000000
GWh,MWh;LHV,heat,1000.000000000
GWh,MWh;HHV,heat,1000.000000000
GWh,kWh,heat,1000000.000000000
GWh,kWh;LHV,heat,1000000.000000000
GWh,kWh;HHV,heat,1000000.000000000
GWh,MJ,heat,3600000.000000000
GWh,MJ;LHV,heat,3600000.000000000
GWh,MJ;HHV,heat,3600000.000000000
GWh,GWh;LHV,heat,1.000000000
GWh,GWh;HHV,heat,1.000000000
GWh;LHV,GJ,heat,3600.000000000
GWh;LHV,GJ;LHV,heat,3600.000000000
GWh;LHV,GJ;HHV,heat,3600.000000000
GWh;LHV,MWh,heat,1000.000000000
GWh;LHV,MWh;LHV,heat,1000.000000000
GWh;LHV,MWh;HHV,heat,1000.000000000
GWh;LHV,kWh,heat,1000000.000000000
GWh;LHV,kWh;LHV,heat,1000000.000000000
GWh;LHV,kWh;HHV,heat,1000000.000000000
GWh;LHV,MJ,heat,3600000.000000000
GWh;LHV,MJ;LHV,heat,3600000.000000000
GWh;LHV,MJ;HHV,heat,3600000.000000000
GWh;LHV,GWh,heat,1.000000000
GWh;LHV,GWh;HHV,heat,1.000000000
GWh;HHV,GJ,heat,3600.000000000
GWh;HHV,GJ;LHV,heat,3600.000000000
GWh;HHV,GJ;HHV,heat,3600.000000000
GWh;HHV,MWh,heat,1000.000000000
GWh;HHV,MWh;LHV,heat,1000.000000000
GWh;HHV,MWh;HHV,heat,1000.000000000
GWh;HHV,kWh,heat,1000000.000000000
GWh;HHV,kWh;LHV,heat,1000000.000000000
GWh;HHV,kWh;HHV,heat,1000000.000000000
GWh;HHV,MJ,heat,3600000.000000000
GWh;HHV,MJ;LHV,heat,3600000.000000000
GWh;HHV,MJ;HHV,heat,3600000.000000000
GWh;HHV,GWh,heat,1.000000000
GWh;HHV,GWh;LHV,heat,1.000000000
t,kg,h2,1000.000000000
t,kilometric_ton,h2,0.001000000
t,GJ,h2,119.988000000
t,GJ;LHV,h2,119.988000000
t,GJ;HHV,h2,141.876000000
t,MWh,h2,33.330000000
t,MWh;LHV,h2,33.330000000
t,MWh;HHV,h2,39.410000000
t,kWh,h2,33330.000000000
t,kWh;LHV,h2,33330.000000000
t,kWh;HHV,h2,39410.000000000
t,MJ,h2,119988.000000000
t,MJ;LHV,h2,119988.000000000
t,MJ;HHV,h2,141876.000000000
t,GWh,h2,0.033330000
t,GWh;LHV,h2,0.033330000
t,GWh;HHV,h2,0.039410000
t,m³,h2,11123.470522803
t,m³;norm,h2,11123.470522803
t,m³;standard,h2,11123.470522803
kg,t,h2,0.001000000
kg,kilometric_ton,h2,0.000001000
kg,GJ,h2,0.119988000
kg,GJ;LHV,h2,0.119988000
kg,GJ;HHV,h2,0.141876000
kg,MWh,h2,0.033330000
kg,MWh;LHV,h2,0.033330000
kg,MWh;HHV,h2,0.039410000
kg,kWh,h2,33.330000000
kg,kWh;LHV,h2,33.330000000
kg,kWh;HHV,h2,39.410000000
kg,MJ,h2,119.988000000
kg,MJ;LHV,h2,119.988000000
kg,MJ;HHV,h2,141.876000000
kg,GWh,h2,0.000033330
kg,GWh;LHV,h2,0.000033330
kg,GWh;HHV,h2,0.000039410
kg,m³,h2,11.123470523
kg,m³;norm,h2,11.123470523
kg,m³;standard,h2,11.123470523
kilometric_ton,t,h2,1000.000000000
kilometric_ton,kg,h2,1000000.000000000
kilometric_ton,GJ,h2,119988.000000000
kilometric_ton,GJ;LHV,h2,119988.000000000
kilometric_ton,GJ;HHV,h2,141876.000000000
kilometric_ton,MWh,h2,33330.000000000
kilometric_ton,MWh;LHV,h2,33330.000000000
kilometric_ton,MWh;HHV,h2,39410.000000000
kilometric_ton,kWh,h2,33330000.000000000
kilometric_ton,kWh;LHV,h2,33330000.000000000
kilometric_ton,kWh;HHV,h2,39410000.000000000
kilometric_ton,MJ,h2,119988000.000000000
kilometric_ton,MJ;LHV,h2,119988000.000000000
kilometric_ton,MJ;HHV,h2,141876000.000000000
kilometric_ton,GWh,h2,33.330000000
kilometric_ton,GWh;LHV,h2,33.330000000
kilometric_ton,GWh;HHV,h2,39.410000000
kilometric_ton,m³,h2,11123470.522803115
kilometric_ton,m³;norm,h2,11123470.522803115
kilometric_ton,m³;standard,h2,11123470.522803115
GJ,t,h2,0.008334167
GJ,kg,h2,8.334166750
GJ,kilometric_ton,h2,0.000008334
GJ,GJ;LHV,h2,1.000000000
GJ,GJ;HHV,h2,1.000000000
GJ,MWh,h2,0.277777778
GJ,MWh;LHV,h2,0.277777778
GJ,MWh;HHV,h2,0.277777778
GJ,kWh,h2,277.777777778
GJ,kWh;LHV,h2,277.777777778
GJ,kWh;HHV,h2,277.777777778
GJ,MJ,h2,1000.000000000
GJ,MJ;LHV,h2,1000.000000000
GJ,MJ;HHV,h2,1000.000000000
GJ,GWh,h2,0.000277778
GJ,GWh;LHV,h2,0.000277778
GJ,GWh;HHV,h2,0.000277778
GJ,m³,h2,92.704858176
GJ,m³;norm,h2,92.704858176
GJ,m³;standard,h2,92.704858176
GJ;LHV,t,h2,0.008334167
GJ;LHV,kg,h2,8.334166750
GJ;LHV,kilometric_ton,h2,0.000008334
GJ;LHV,GJ,h2,1.000000000
GJ;LHV,GJ;HHV,h2,1.000000000
GJ;LHV,MWh,h2,0.277777778
GJ;LHV,MWh;LHV,h2,0.277777778
GJ;LHV,MWh;HHV,h2,0.277777778
GJ;LHV,kWh,h2,277.777777778
GJ;LHV,kWh;LHV,h2,277.777777778
GJ;LHV,kWh;HHV,h2,277.777777778
GJ;LHV,MJ,h2,1000.000000000
GJ;LHV,MJ;LHV,h2,1000.000000000
GJ;LHV,MJ;HHV,h2,1000.000000000
GJ;LHV,GWh,h2,0.000277778
GJ;LHV,GWh;LHV,h2,0.000277778
GJ;LHV,GWh;HHV,h2,0.000277778
GJ;LHV,m³,h2,92.704858176
GJ;LHV,m³;norm,h2,92.704858176
GJ;LHV,m³;standard,h2,92.704858176
GJ;HHV,t,h2,0.007048408
GJ;HHV,kg,h2,7.048408469
GJ;HHV,kilometric_ton,h2,0.000007048
GJ;HHV,GJ,h2,1.000000000
GJ;HHV,GJ;LHV,h2,1.000000000
GJ;HHV,MWh,h2,0.277777778
GJ;HHV,MWh;LHV,h2,0.277777778
GJ;HHV,MWh;HHV,h2,0.277777778
GJ;HHV,kWh,h2,277.777777778
GJ;HHV,kWh;LHV,h2,277.777777778
GJ;HHV,kWh;HHV,h2,277.777777778
GJ;HHV,MJ,h2,1000.000000000
GJ;HHV,MJ;LHV,h2,1000.000000000
GJ;HHV,MJ;HHV,h2,1000.000000000
GJ;HHV,GWh,h2,0.000277778
GJ;HHV,GWh;LHV,h2,0.000277778
GJ;HHV,GWh;HHV,h2,0.000277778
GJ;HHV,m³,h2,78.402763842
GJ;HHV,m³;norm,h2,78.402763842
GJ;HHV,m³;standard,h2,78.402763842
MWh,t,h2,0.030003000
MWh,kg,h2,30.003000300
MWh,kilometric_ton,h2,0.000030003
MWh,GJ,h2,3.600000000
MWh,GJ;LHV,h2,3.600000000
MWh,GJ;HHV,h2,3.600000000
MWh,MWh;LHV,h2,1.000000000
MWh,MWh;HHV,h2,1.000000000
MWh,kWh,h2,1000.000000000
MWh,kWh;LHV,h2,1000.000000000
MWh,kWh;HHV,h2,1000.000000000
MWh,MJ,h2,3600.000000000
MWh,MJ;LHV,h2,3600.000000000
MWh,MJ;HHV,h2,3600.000000000
MWh,GWh,h2,0.001000000
MWh,GWh;LHV,h2,0.001000000
MWh,GWh;HHV,h2,0.001000000
MWh,m³,h2,333.737489433
MWh,m³;norm,h2,333.737489433
MWh,m³;standard,h2,333.737489433
MWh;LHV,t,h2,0.030003000
MWh;LHV,kg,h2,30.003000300
MWh;LHV,kilometric_ton,h2,0.000030003
MWh;LHV,GJ,h2,3.600000000
MWh;LHV,GJ;LHV,h2,3.600000000
MWh;LHV,GJ;HHV,h2,3.600000000
MWh;LHV,MWh,h2,1.000000000
MWh;LHV,MWh;HHV,h2,1.000000000
MWh;LHV,kWh,h2,1000.000000000
MWh;LHV,kWh;LHV,h2,1000.000000000
MWh;LHV,kWh;HHV,h2,1000.000000000
MWh;LHV,MJ,h2,3600.000000000
MWh;LHV,MJ;LHV,h2,3600.000000000
MWh;LHV,MJ;HHV,h2,3600.000000000
MWh;LHV,GWh,h2,0.001000000
MWh;LHV,GWh;LHV,h2,0.001000000
MWh;LHV,GWh;HHV,h2,0.001000000
MWh;LHV,m³,h2,333.737489433
MWh;LHV,m³;norm,h2,333.737489433
MWh;LHV,m³;standard,h2,333.737489433
MWh;HHV,t,h2,0.025374270
MWh;HHV,kg,h2,25.374270490
MWh;HHV,kilometric_ton,h2,0.000025374
MWh;HHV,GJ,h2,3.600000000
MWh;HHV,GJ;LHV,h2,3.600000000
