from,to,ft,factor
MEUR_2015,EUR_2014,,981800.570725683
MEUR_2015,EUR_2016,,1013277.522226950
MEUR_2015,MEUR_2014,,0.981800571
MEUR_2015,EUR_2005,,871868.035990211
MEUR_2015,USD_2005,,1084682.801679785
kilometric_ton/a,t/a,,1000.000000000
kilometric_ton/a,Mt/a,,0.001000000
kilometric_ton/a,kg/d,,2739.726027397
kilometric_ton/a,metric_ton/a,,1000.000000000
kilometric_ton/a,kg/a,,1000000.000000000
kilometric_ton/a,kg/day,,2739.726027397
kilometric_ton/a,lb/hour,,251.669249069
kilometric_ton,t,,1000.000000000
kilometric_ton,kg,,1000000.000000000
kilometric_ton,metric_ton,,1000.000000000
kilometric_ton,lb,,2204622.621848776
hour,year,,0.000114155
hour,a,,0.000114155
EUR/a,EUR_2020/a,,1.251166510
EUR/a,USD_2020/a,,1.617727903
EUR/a,USD/a,,1.244090570
EUR/a,USD_2018/year,,1.568747651
EUR/a,EUR_2014/year,,1.126088502
EUR/a,MEUR_2014/a,,0.000001126
EUR/a,EUR_2005/a,,1.000000000
EUR/a,USD_2005/a,,1.244090570
kg/a,t/a,,0.001000000
kg/a,Mt/a,,0.000000001
kg/a,kg/d,,0.002739726
kg/a,metric_ton/a,,0.001000000
kg/a,kilometric_ton/a,,0.000001000
kg/a,kg/day,,0.002739726
kg/a,lb/hour,,0.000251669
USD,EUR_2013,,0.888465098
USD,MEUR_2020,,0.000001006
USD,EUR,,0.803800000
USD,EUR_2020,,1.005687641
USD,USD_2021,,1.358750800
USD,EUR_2019,,0.987800449
USD,MUSD_2022,,0.000001454
USD,EUR_2015,,0.921928511
USD,MEUR_2015,,0.000000922
USD,kEUR,,0.000803800
USD,MUSD,,0.000001000
USD,EUR_2022,,1.093263109
USD,USD_2018,,1.260959362
USD,EUR_2014,,0.905149938
USD,EUR_2016,,0.934169437
USD,MEUR_2014,,0.000000905
USD,EUR_2005,,0.803800000
USD,USD_2005,,1.000000000
USD/a,EUR_2020/a,,1.005687641
USD/a,USD_2020/a,,1.300329688
USD/a,EUR/a,,0.803800000
USD/a,USD_2018/year,,1.260959362
USD/a,EUR_2014/year,,0.905149938
USD/a,MEUR_2014/a,,0.000000905
USD/a,EUR_2005/a,,0.803800000
USD/a,USD_2005/a,,1.000000000
GJ/a,kW,,0.031709792
GJ/a,MW,,0.000031710
GJ/a,kW,,0.031709792
GJ/a,MWh/a,,0.277777778
kEUR,EUR_2013,,1105.331049855
kEUR,MEUR_2020,,0.001251167
kEUR,EUR,,1000.000000000
kEUR,EUR_2020,,1251.166510032
kEUR,USD_2021,,1690.409056694
kEUR,EUR_2019,,1228.913223757
kEUR,MUSD_2022,,0.001808827
kEUR,EUR_2015,,1146.962566261
