source,source_detail,subtech,heat_source,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 23 (Variable O&M costs)",heat-pump-60c,*,0.5-5 MW,2035,OPEX Variable,Output|Heat,2.93,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 23 (Variable O&M costs)",heat-pump-60c,*,0.5-5 MW,2040,OPEX Variable,Output|Heat,2.93,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 23 (Variable O&M costs)",heat-pump-60c,*,0.5-5 MW,2050,OPEX Variable,Output|Heat,2.89,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.1 (Traditional heat pump, up to 60°C, temp lift 40 K), Row 12 (Technical lifetime)",heat-pump-60c,*,0.5-5 MW,2025,Lifetime,,25,,a,,,
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 7 (COP at nominal load)",heat-pump-80c,*,0.5-5 MW,2025,Output|Heat,Input|Electricity,3.35,,kWh,1,kWh,COP at 75 K temperature lift; combined heating and cooling heat pump; heat sink up to 80°C
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 7 (COP at nominal load)",heat-pump-80c,*,0.5-5 MW,2030,Output|Heat,Input|Electricity,3.43,,kWh,1,kWh,COP at 75 K temperature lift; combined heating and cooling heat pump; heat sink up to 80°C
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 7 (COP at nominal load)",heat-pump-80c,*,0.5-5 MW,2035,Output|Heat,Input|Electricity,3.48,,kWh,1,kWh,COP at 75 K temperature lift; combined heating and cooling heat pump; heat sink up to 80°C
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 7 (COP at nominal load)",heat-pump-80c,*,0.5-5 MW,2040,Output|Heat,Input|Electricity,3.50,,kWh,1,kWh,COP at 75 K temperature lift; combined heating and cooling heat pump; heat sink up to 80°C
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 7 (COP at nominal load)",heat-pump-80c,*,0.5-5 MW,2050,Output|Heat,Input|Electricity,3.53,,kWh,1,kWh,COP at 75 K temperature lift; combined heating and cooling heat pump; heat sink up to 80°C
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 19 (Nominal investment)",heat-pump-80c,*,0.5-5 MW,2025,CAPEX,Output Capacity|Heat,0.95,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 19 (Nominal investment)",heat-pump-80c,*,0.5-5 MW,2030,CAPEX,Output Capacity|Heat,0.94,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 1.2 (Combined heating/cooling heat pump, up to 80°C, temp lift 75 K), Row 19 (Nominal investment)",heat-pump-80c,*,0.5-5 MW,2035,CAPEX,Output Capacity|Heat,0.91,,MEUR_2024,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
